"Phi","P","variable","value","SE"
".70",".01","TRS",0.992318722943723,0.0275053320248064
".70",".1","TRS",0.881922986025699,0.0383146206346158
".70",".2","TRS",0.792142759264655,0.0351114119166505
".70",".3","TRS",0.725412368303779,0.0340071606249243
".70",".4","TRS",0.686292870457918,0.0296879798154509
".70",".5","TRS",0.643217113831361,0.0305104967037451
".70",".6","TRS",0.614759170620507,0.0288070560715845
".70",".7","TRS",0.588753167610986,0.0308855653906406
".70",".8","TRS",0.565998655295982,0.0288157435529212
".70",".9","TRS",0.554563267542598,0.0289396648345198
".70","1","TRS",0.544733333333333,0.0262474625998265
".75",".01","TRS",0.986092930762048,0.0357649301664757
".75",".1","TRS",0.844156904238665,0.0402642591193893
".75",".2","TRS",0.744013520589797,0.0394096143532605
".75",".3","TRS",0.66889281053335,0.037878497967655
".75",".4","TRS",0.622204041862376,0.035847141737951
".75",".5","TRS",0.578940485712231,0.0307723778350253
".75",".6","TRS",0.550941655677684,0.0305642688585636
".75",".7","TRS",0.528488924718269,0.0294024733540942
".75",".8","TRS",0.508243658672335,0.0314703648649942
".75",".9","TRS",0.490921985674639,0.0289230257975601
".75","1","TRS",0.4826,0.0284014036737576
".80",".01","TRS",0.974669356859843,0.0400667532573063
".80",".1","TRS",0.80045984608881,0.041496567763222
".80",".2","TRS",0.673443404829383,0.038042205183358
".80",".3","TRS",0.604859631075225,0.0334787117606488
".80",".4","TRS",0.545020233658696,0.0325052730129493
".80",".5","TRS",0.508811720853263,0.0302351999830205
".80",".6","TRS",0.477805412043418,0.028796587834093
".80",".7","TRS",0.451291627440342,0.0305667663242507
".80",".8","TRS",0.433023473993832,0.0298109479270203
".80",".9","TRS",0.420203130836888,0.0286098969842835
".80","1","TRS",0.4119,0.0283407793741299
".85",".01","TRS",0.964245460793226,0.048087493313392
".85",".1","TRS",0.736488483620926,0.047442633020488
".85",".2","TRS",0.600671174625046,0.0386551686546096
".85",".3","TRS",0.517695255233155,0.033012670007278
".85",".4","TRS",0.461771680020476,0.0309925045659781
".85",".5","TRS",0.420395499779359,0.0337718726795305
".85",".6","TRS",0.391623549173189,0.0325858136761216
".85",".7","TRS",0.373054814131462,0.0285733257399519
".85",".8","TRS",0.358373417952916,0.025765672173914
".85",".9","TRS",0.345242267063925,0.028346159962197
".85","1","TRS",0.3369,0.0265665418295484
".90",".01","TRS",0.952326928341191,0.0482240531993532
".90",".1","TRS",0.645893134999802,0.042201000900055
".90",".2","TRS",0.497817190461267,0.0381420733927448
".90",".3","TRS",0.413151842878719,0.0305008926125443
".90",".4","TRS",0.36102479967578,0.0299835303958232
".90",".5","TRS",0.327059498174379,0.0297011444893217
".90",".6","TRS",0.308282980828874,0.0284735193193412
".90",".7","TRS",0.282286217065243,0.0273837758216998
".90",".8","TRS",0.273138416694202,0.0257140703930217
".90",".9","TRS",0.264637162832007,0.0280107509642793
".90","1","TRS",0.259633333333333,0.0274010616914415
".95",".01","TRS",0.918373479590166,0.0519186470168591
".95",".1","TRS",0.522645431409844,0.0411192074564761
".95",".2","TRS",0.363842040872032,0.0286637756462778
".95",".3","TRS",0.287677597054479,0.0269183836334874
".95",".4","TRS",0.240853865810782,0.0248425714753882
".95",".5","TRS",0.212391236812123,0.0218664436325894
".95",".6","TRS",0.19874215184957,0.0224149916729086
".95",".7","TRS",0.183682499081855,0.027026233810353
".95",".8","TRS",0.178017429956818,0.0244607025158176
".95",".9","TRS",0.170446244490196,0.0204383207004696
".95","1","TRS",0.170633333333333,0.0230438755859383
"1",".01","TRS",0.896803432779747,0.0426709789028989
"1",".1","TRS",0.324488201598819,0.0281176409098528
"1",".2","TRS",0.164832059317729,0.0231064302499763
"1",".3","TRS",0.1267229270357,0.0199525029590154
"1",".4","TRS",0.0972158845000493,0.0156274849626385
"1",".5","TRS",0.0915299559790887,0.017913489948219
"1",".6","TRS",0.08408982483415,0.0171863407585572
"1",".7","TRS",0.0824144847185226,0.0188036156527348
"1",".8","TRS",0.0784072942320555,0.0159429988539948
"1",".9","TRS",0.0744891380895466,0.016359066417585
"1","1","TRS",0.0731,0.0157081619680031
".70",".01","OCV",0.00768127705627706,0.0275053320248064
".70",".1","OCV",0.118077013974301,0.0383146206346158
".70",".2","OCV",0.207857240735345,0.0351114119166505
".70",".3","OCV",0.274587631696221,0.0340071606249243
".70",".4","OCV",0.313606109133919,0.0296992970618725
".70",".5","OCV",0.356782886168639,0.0305104967037451
".70",".6","OCV",0.385162548794917,0.0287566497063658
".70",".7","OCV",0.411171500417614,0.0309393861502037
".70",".8","OCV",0.433928218317023,0.0288360431677772
".70",".9","OCV",0.445402130381277,0.0289489667645691
".70","1","OCV",0.4552,0.0262907852146981
".75",".01","OCV",0.0139070692379516,0.0357649301664757
".75",".1","OCV",0.155843095761335,0.0402642591193893
".75",".2","OCV",0.255986479410203,0.0394096143532605
".75",".3","OCV",0.33110718946665,0.037878497967655
".75",".4","OCV",0.377604564698149,0.0358794055829484
".75",".5","OCV",0.420850263444503,0.0307253297256311
".75",".6","OCV",0.448747054587246,0.0306642244260959
".75",".7","OCV",0.4711753012849,0.0296206187564966
".75",".8","OCV",0.491399297829248,0.0314437064023659
".75",".9","OCV",0.508631484192128,0.0290578282388359
".75","1","OCV",0.516733333333333,0.0284740218697076
".80",".01","OCV",0.0253306431401565,0.0400667532573063
".80",".1","OCV",0.19954015391119,0.041496567763222
".80",".2","OCV",0.326431590287614,0.038099421300881
".80",".3","OCV",0.394994530719354,0.0334675647346324
".80",".4","OCV",0.454801047679058,0.0324277383143753
".80",".5","OCV",0.489761063574675,0.0304539171990463
".80",".6","OCV",0.520777375074193,0.0287518696307524
".80",".7","OCV",0.546266057297347,0.0302386683256902
".80",".8","OCV",0.565071390981209,0.0299804236486471
".80",".9","OCV",0.577607345321889,0.0285177703782352
".80","1","OCV",0.585633333333333,0.0280399546582918
".85",".01","OCV",0.0357545392067737,0.048087493313392
".85",".1","OCV",0.263511516379074,0.047442633020488
".85",".2","OCV",0.399275349439125,0.0386788458613121
".85",".3","OCV",0.481391978675466,0.0328554900505017
".85",".4","OCV",0.535800319316383,0.0313602470079899
".85",".5","OCV",0.576119832882243,0.0339871018579558
".85",".6","OCV",0.602615740862198,0.0325578161740708
".85",".7","OCV",0.620418444389378,0.0284044239944269
".85",".8","OCV",0.63379667160232,0.0262917351961727
".85",".9","OCV",0.64602753123808,0.0278047166347685
".85","1","OCV",0.655266666666667,0.0253690161598812
".90",".01","OCV",0.0476730716588087,0.0482240531993532
".90",".1","OCV",0.354106865000198,0.042201000900055
".90",".2","OCV",0.50147785562023,0.0381692095409393
".90",".3","OCV",0.581761292695643,0.0301153793129528
".90",".4","OCV",0.627571683307459,0.0301933664522577
".90",".5","OCV",0.652921378391002,0.0303456002495386
".90",".6","OCV",0.665327731257704,0.0295804875491289
".90",".7","OCV",0.689400957520685,0.0268866523536333
".90",".8","OCV",0.692580013970444,0.0274601023547698
".90",".9","OCV",0.701244814742713,0.0264564269241858
".90","1","OCV",0.707066666666667,0.0284554902795271
".95",".01","OCV",0.0816265204098341,0.0519186470168591
".95",".1","OCV",0.477293218896905,0.0411405023851653
".95",".2","OCV",0.634274325050079,0.0287522965034765
".95",".3","OCV",0.697957121496854,0.0270928099442233
".95",".4","OCV",0.709720929740579,0.0263502064637002
".95",".5","OCV",0.708724602710027,0.0251014318318206
".95",".6","OCV",0.715537778358992,0.0256673924393414
".95",".7","OCV",0.705267185641322,0.0279723882905374
".95",".8","OCV",0.704362103810482,0.0272148889311176
".95",".9","OCV",0.707207119194435,0.0278631801769901
".95","1","OCV",0.707533333333333,0.0269455951019537
"1",".01","OCV",0.103196567220253,0.0426709789028989
"1",".1","OCV",0.675387072976535,0.0281166637446577
"1",".2","OCV",0.821266145323614,0.0237078386525992
"1",".3","OCV",0.800929886467221,0.0223028861899155
"1",".4","OCV",0.690478276102761,0.0279973797963412
"1",".5","OCV",0.64487264455788,0.0290990320154613
"1",".6","OCV",0.572684271670144,0.0266483020804023
"1",".7","OCV",0.589689224456938,0.0307575504784937
"1",".8","OCV",0.53532181140098,0.0292113724450964
"1",".9","OCV",0.529546252170617,0.0323747279253986
"1","1","OCV",0.528366666666667,0.0240253093261146
".70",".01","Resident",0,0
".70",".1","Resident",0,0
".70",".2","Resident",0,0
".70",".3","Resident",0,0
".70",".4","Resident",0.000101020408163265,0.000710742307965743
".70",".5","Resident",0,0
".70",".6","Resident",7.82805845767333e-05,0.000550734318359547
".70",".7","Resident",7.53319713993871e-05,0.000529988990532185
".70",".8","Resident",7.31263869950001e-05,0.00051446436681296
".70",".9","Resident",3.46020761245675e-05,0.000346020761245675
".70","1","Resident",6.66666666666667e-05,0.000469017647120966
".75",".01","Resident",0,0
".75",".1","Resident",0,0
".75",".2","Resident",0,0
".75",".3","Resident",0,0
".75",".4","Resident",0.000191393439475281,0.00117241898600883
".75",".5","Resident",0.000209250843266484,0.000916804877599599
".75",".6","Resident",0.000311289735070211,0.00106123733784348
".75",".7","Resident",0.000335773996830941,0.00119285197355386
".75",".8","Resident",0.000357043498417142,0.00107679401422067
".75",".9","Resident",0.000446530133233138,0.00126222891250867
".75","1","Resident",0.000666666666666667,0.00149822191658498
".80",".01","Resident",0,0
".80",".1","Resident",0,0
".80",".2","Resident",0.000125004883003242,0.000879459968550783
".80",".3","Resident",0.000145838205420971,0.000834055269953489
".80",".4","Resident",0.000178718662246043,0.000880330562605492
".80",".5","Resident",0.00142721557206205,0.00235070198666677
".80",".6","Resident",0.0014172128823894,0.00221426946092077
".80",".7","Resident",0.00244231526231009,0.00265943532698771
".80",".8","Resident",0.00190513502495864,0.0023752684123855
".80",".9","Resident",0.00218952384122249,0.00286105869714205
".80","1","Resident",0.00246666666666667,0.00274710336170851
".85",".01","Resident",0,0
".85",".1","Resident",0,0
".85",".2","Resident",5.3475935828877e-05,0.00053475935828877
".85",".3","Resident",0.000912766091379707,0.00215702397498214
".85",".4","Resident",0.00242800066314085,0.00320024361211918
".85",".5","Resident",0.00348466733839799,0.00337394219183908
".85",".6","Resident",0.0057607099646122,0.00450079835049057
".85",".7","Resident",0.00652674147915936,0.00527357878805937
".85",".8","Resident",0.00782991044476355,0.00504844945873513
".85",".9","Resident",0.00873020169799503,0.00518912824372521
".85","1","Resident",0.00783333333333333,0.00502239652866374
".90",".01","Resident",0,0
".90",".1","Resident",0,0
".90",".2","Resident",0.000704953918503261,0.00202726460672967
".90",".3","Resident",0.00508686442563801,0.00412424960728496
".90",".4","Resident",0.0114035170167611,0.00690937245744435
".90",".5","Resident",0.0200191234346199,0.00801410863423242
".90",".6","Resident",0.0263892879134221,0.0087812142596732
".90",".7","Resident",0.0283128254140713,0.00897968373413112
".90",".8","Resident",0.0342815693353541,0.0102217234769095
".90",".9","Resident",0.0341180224252794,0.0103964051818492
".90","1","Resident",0.0333,0.0107777777777778
".95",".01","Resident",0,0
".95",".1","Resident",6.13496932515337e-05,0.000613496932515337
".95",".2","Resident",0.00188363407788864,0.00296440155212534
".95",".3","Resident",0.0143652814486662,0.0071901385165573
".95",".4","Resident",0.0494252044486394,0.0140241822346553
".95",".5","Resident",0.0788841604778504,0.0165724777721521
".95",".6","Resident",0.0857200697914382,0.0174108013205711
".95",".7","Resident",0.111050315276823,0.0192924902166462
".95",".8","Resident",0.1176204662327,0.020337824972842
".95",".9","Resident",0.122346636315369,0.0180293847421544
".95","1","Resident",0.121833333333333,0.0190420115603597
"1",".01","Resident",0,0
"1",".1","Resident",0.000124725424645975,0.000713492159688545
"1",".2","Resident",0.0139017953586569,0.00748397708484061
"1",".3","Resident",0.0723471864970792,0.0142580593176805
"1",".4","Resident",0.21230583939719,0.0237125359167187
"1",".5","Resident",0.263597399463032,0.0248677800832034
"1",".6","Resident",0.343225903495706,0.0271033623896018
"1",".7","Resident",0.32789629082454,0.0318118279958115
"1",".8","Resident",0.386270894366964,0.0306864921670084
"1",".9","Resident",0.395964609739836,0.0305148892166697
"1","1","Resident",0.398533333333333,0.022713360500597
